"file","hex","mode","confidence"
"Red-Nail-Polishes.webp","#800510","saturated","0.482"
"romantic-rose.webp","#b85b60","saturated","0.679"
"rose-top-view.webp","#c7705c","saturated","0.89"
"S46-AQUA-2.webp","#87a8b9","saturated","0.565"
"Salted-Caramel-Lip-Butter-Balm.webp","#be715f","saturated","0.933"
"square.webp","#c95668","saturated","0.736"
"Strawberry-Milkshake-Lip-Butter-Balm.webp","#ea9c95","saturated","0.928"
"sunbeam-texture.webp","#dbae89","saturated","0.979"
"Sunday-Morning-Blush.webp","#d19b74","saturated","0.923"
"Sunglow-Sunscreen.webp","#db9cbf","saturated","0.836"
"Sunglow-Sunscreen-SPF-50.webp","#93cfad","saturated","0.884"
"sunscreen-spf50.webp","#f4eab7","saturated","0.557"
"texture-scrub.webp","#cda68c","saturated","0.874"
"top-coat-updated.webp","#cbc9ce","neutral","0.003"
"Transparent-updated.webp","#c3bec5","neutral","0.026"
"Vanilla-Cake-Lip-Butter-Balm.webp","#f6b57e","saturated","0.961"
"VAR_0259.jpg-N-1.webp","#c29a7d","saturated","0.856"
"VAR_0260.jpg-NS-2.webp","#ce9e7f","saturated","0.89"
"VAR_0261.jpg-MB3.webp","#c59776","saturated","0.89"
"VAR_0263.jpg-C5.webp","#a8785c","saturated","0.892"
"VAR_0312-optimized.webp","#d4d3cb","neutral","0.04"
"Walnut-Body-Scrub.webp","#d69ab7","saturated","0.818"
"Watermelon-Sugar-Lip-Butter-Balm.webp","#eb797b","saturated","0.968"
"White-Eye-Pencil.webp","#e5b39f","saturated","0.674"
"White-Nail-Polishes.webp","#d3cbca","neutral","0.002"
"white-texture.webp","#efebe9","neutral","0"
"Winter-Collection-Nail-Polishes.webp","#23181d","saturated","0.362"
